SEMMEDDB Subject Code	SEMMEDDB Subject T code	SEMMEDDB Predicate	SEMMEDDB Object Code	SEMMEDDB Object T code	Notes
chem	T103	Exclude			semantic type exclusion
		Exclude	chem	T103
chvs	T104	Exclude			semantic type exclusion
		Exclude	chvs	T104
chvf	T120	Exclude			semantic type exclusion
		Exclude	chvf	T120
mosq	T085	Exclude			semantic type exclusion
		Exclude	mosq	T085
acty	T052	Exclude			semantic type exclusion
		Exclude	acty	T052
ffas	T021	Exclude			semantic type exclusion
		Exclude	ffas	T021
lbpr	T059	Exclude			semantic type exclusion
		Exclude	lbpr	T059
hlca	T058	Exclude			semantic type exclusion
		Exclude	hlca	T058
resa	T062	Exclude			semantic type exclusion
		Exclude	resa	T062
mbrt	T063	Exclude			semantic type exclusion
		Exclude	mbrt	T063
resd	T075	Exclude			semantic type exclusion
		Exclude	resd	T075
clna	T201	Exclude			semantic type exclusion
		Exclude	clna	T201
famg	T099	Exclude			semantic type exclusion
		Exclude	famg	T099
amph	T011	Exclude			semantic type exclusion
		Exclude	amph	T011
anim	T008	Exclude			semantic type exclusion
		Exclude	anim	T008
bhvr	T053	Exclude			semantic type exclusion
		Exclude	bhvr	T053
bird	T012	Exclude			semantic type exclusion
		Exclude	bird	T012
bmod	T091	Exclude			semantic type exclusion
		Exclude	bmod	T091
clas	T185	Exclude			semantic type exclusion
		Exclude	clas	T185
cnce	T077	Exclude			semantic type exclusion
		Exclude	cnce	T077
crbs	T088	Exclude			semantic type exclusion
		Exclude	crbs	T088
edac	T065	Exclude			semantic type exclusion
		Exclude	edac	T065
enty	T071	Exclude			semantic type exclusion
		Exclude	enty	T071
evnt	T051	Exclude			semantic type exclusion
		Exclude	evnt	T051
fish	T013	Exclude			semantic type exclusion
		Exclude	fish	T013
ftcn	T169	Exclude			semantic type exclusion
		Exclude	ftcn	T169
geoa	T083	Exclude			semantic type exclusion
		Exclude	geoa	T083
gora	T064	Exclude			semantic type exclusion
		Exclude	gora	T064
grpa	T102	Exclude			semantic type exclusion
		Exclude	grpa	T102
grup	T096	Exclude			semantic type exclusion
		Exclude	grup	T096
hcpp	T068	Exclude			semantic type exclusion
		Exclude	hcpp	T068
hcro	T093	Exclude			semantic type exclusion
		Exclude	hcro	T093
humn	T016	Exclude			semantic type exclusion
		Exclude	humn	T016
idcn	T078	Exclude			semantic type exclusion
		Exclude	idcn	T078
inpr	T170	Exclude			semantic type exclusion
		Exclude	inpr	T170
lang	T171	Exclude			semantic type exclusion
		Exclude	lang	T171
mamm	T015	Exclude			semantic type exclusion
		Exclude	mamm	T015
mcha	T066	Exclude			semantic type exclusion
		Exclude	mcha	T066
menp	T041	Exclude			semantic type exclusion
		Exclude	menp	T041
mnob	T073	Exclude			semantic type exclusion
		Exclude	mnob	T073
npop	T070	Exclude			semantic type exclusion
		Exclude	npop	T070
ocac	T057	Exclude			semantic type exclusion
		Exclude	ocac	T057
ocdi	T090	Exclude			semantic type exclusion
		Exclude	ocdi	T090
orgt	T092	Exclude			semantic type exclusion
		Exclude	orgt	T092
phob	T072	Exclude			semantic type exclusion
		Exclude	phob	T072
phpr	T067	Exclude			semantic type exclusion
		Exclude	phpr	T067
podg	T101	Exclude			semantic type exclusion
		Exclude	podg	T101
popg	T098	Exclude			semantic type exclusion
		Exclude	popg	T098
prog	T097	Exclude			semantic type exclusion
		Exclude	prog	T097
pros	T094	Exclude			semantic type exclusion
		Exclude	pros	T094
qlco	T080	Exclude			semantic type exclusion
		Exclude	qlco	T080
qnco	T081	Exclude			semantic type exclusion
		Exclude	qnco	T081
rept	T014	Exclude			semantic type exclusion
		Exclude	rept	T014
rnlw	T089	Exclude			semantic type exclusion
		Exclude	rnlw	T089
shro	T095	Exclude			semantic type exclusion
		Exclude	shro	T095
socb	T054	Exclude			semantic type exclusion
		Exclude	socb	T054
spco	T082	Exclude			semantic type exclusion
		Exclude	spco	T082
tmco	T079	Exclude			semantic type exclusion
		Exclude	tmco	T079
vtbt	T010	Exclude			semantic type exclusion
		Exclude	vtbt	T010
T047	dsyn	241			Domain exclusion
T025	cell	843			Domain exclusion
T061	topp	1532			Domain exclusion
T058	hlca	ADMINISTERED_TO			Domain exclusion
T170	inpr	ADMINISTERED_TO			Domain exclusion
T059	lbpr	ADMINISTERED_TO			Domain exclusion
T062	resa	ADMINISTERED_TO			Domain exclusion
T081	qnco	ADMINISTERED_TO			Domain exclusion
T065	edac	ADMINISTERED_TO			Domain exclusion
T120	chvf	ADMINISTERED_TO			Domain exclusion
T104	chvs	ADMINISTERED_TO			Domain exclusion
T073	mnob	ADMINISTERED_TO			Domain exclusion
T103	chem	ADMINISTERED_TO			Domain exclusion
T045	genf	AFFECTS			Domain exclusion
T070	npop	AFFECTS			Domain exclusion
T060	diap	AFFECTS			Domain exclusion
T026	celc	AFFECTS			Domain exclusion
T130	irda	AFFECTS			Domain exclusion
T104	chvs	AFFECTS			Domain exclusion
