id,mappings,description
organism_taxon,WD:Q16521,
individual_organism,SIO:010000|WD:Q795052,
case,,An individual organism that has a patient role in some clinical context.
population_of_individual_organisms,SIO:001061,
biosample,SIO:001050,
disease_or_phenotypic_feature,,"Either one of a disease or an individual phenotypic feature. Some knowledge resources such as Monarch treat these as distinct, others such as MESH conflate."
disease,MONDO:0000001|WD:Q12136|SIO:010299,
phenotypic_feature,UPHENO:0000001|SIO:010056|WD:Q169872,
environment,SIO:000955,"A feature of the environment of an organism that influences one or more phenotypic features of that organism, potentially mediated by genes"
molecular_entity,SIO:010004|WD:Q43460564,"A gene, gene product, small molecule or macromolecule (including protein complex)"
chemical_substance,SIO:010004|UMLSSG:CHEM|WD:Q79529,"May be a chemical entity or a formulation with a chemical entity as active ingredient, or a complex material with multiple chemical entities as part"
drug,WD:Q12140,"A substance intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease"
anatomical_entity,UMLSSG:ANAT|SIO:010046|WD:Q4936952,"A subcellular location, cell type or gross anatomical part"
life_stage,,"A stage of development or growth of an organism, including post-natal adult stages"
genomic_entity,SO:0000110|UMLSSG:GENE,"an entity that can either be directly located on a genome (gene, transcript, exon, regulatory region) or is encoded in a genome (protein)"
genome,SO:0001026|SIO:000984|WD:Q7020,A genome is the sum of genetic material within a cell or virion.
transcript,SO:0000673|SIO:010450,An RNA synthesized on a DNA or RNA template by an RNA polymerase
exon,SO:0000147|SIO:010445|WD:Q373027,A region of the transcript sequence within a gene which is not removed from the primary RNA transcript by RNA splicing
coding_sequence,SO:0000316|SIO:001390,
gene_or_gene_product,,a union of genes or gene products. Frequently an identifier for one will be used as proxy for another
gene,SO:0000704|SIO:010035|WD:Q7187,
gene_product,WD:Q424689,The functional molecular product of a single gene. Gene products are either proteins or functional RNA molecules
protein,PR:000000001|SIO:010043|WD:Q8054,
RNA_product,CHEBI:33697|SIO:010450|WD:Q11053,
noncoding_RNA_product,SIO:001235,
microRNA,SO:0000276|SIO:001397|WD:Q310899,
macromolecular_complex,GO:0032991|SIO:010046|WD:Q22325163,
gene_family,NCIT:C20130|SIO:001380|WD:Q417841,any grouping of multiple genes or gene products related by common descent
genotype,GENO:0000536|SIO:001079,"An information content entity that describes a genome by specifying the total variation in genomic sequence and/or gene expression, relative to some extablished background"
allele,GENO:0000512|SIO:010277,A genomic feature representing one of a set of coexisting sequence variants at a particular genomic locus
sequence_variant,GENO:0000512|WD:Q15304597,A genomic feature representing one of a set of coexisting sequence variants at a particular genomic locus.
drug_exposure,ECTO:0000509|SIO:001005,A drug exposure is an intake of a particular chemical substance
treatment,OGMS:0000090|SIO:001398,A treatment is targeted at a disease or phenotype and may involve multiple drug 'exposures'
biological_process,GO:0008150|SIO:000006|WD:Q2996394,One or more causally connected executions of molecular functions
pathway,GO:0007165|SIO:010526|PW:0000001|WD:Q4915012,
physiology,UMLSSG:PHYS,
cellular_component,GO:0005575|SIO:001400|WD:Q5058355,A location in or around a cell
cell,GO:0005623|SIO:010001|WD:Q7868,
gross_anatomical_structure,SIO:010046|WD:Q4936952,

